EmailAddress,SubscriberKey,FirstName,BasketID
arcu.Aliquam@dis.co.uk,F90A6B1D-51FD-40AF-E57C-52CE41C917D0,Malik,72
massa.rutrum@vitae.net,F963E04A-B9ED-77E6-13BD-BBDF236024A6,Nevada,73
ac@litoratorquent.co.uk,676823F8-BB3B-1850-5540-37B06AA13B81,Nigel,74
quis.arcu.vel@laciniaorciconsectetuer.net,7A22A730-362B-6C65-89BF-D8E4761F431E,Emmanuel,75
quis.turpis@Nullatincidunt.com,9B524EA4-CB8B-3319-C472-DF9BE4473CC4,Carter,76
nisi.Cum@Pellentesque.co.uk,5AC6BFAF-4805-8858-9BDD-54DCB282D7ED,Timon,77
nunc@tellusnon.org,1ACED37E-1AD7-EEB8-D9E4-01075D9643FA,Jocelyn,78
gravida.non@enim.org,BA33B8D7-F7AE-F3CB-C5E8-8F5CD1525D65,Jescie,79
laoreet.posuere@turpisegestasAliquam.co.uk,D5064DC3-F8A8-1483-86BC-92C9AF840A87,Noah,80
imperdiet@nequeSedeget.edu,A7C06CAC-B291-0694-FEA6-92BB5E4B5892,Lynn,81
mauris.ipsum.porta@auctorodioa.co.uk,A4443678-D828-B076-34A4-12B9C537D9B9,Ariana,82
lobortis.quis.pede@Pellentesqueultricies.co.uk,71148610-BB21-4069-D523-1D683EC477A0,Kimberley,83
vitae.orci@est.ca,F06F3663-9285-84C1-9DFF-A33B3963F7AA,Jin,84
vitae@faucibusorci.org,653C3500-D994-AF8B-F6EA-FD579D0C96CF,Eric,85
amet.luctus@elitNullafacilisi.co.uk,F7163006-FED3-7397-DC5B-3168B9FE0AE1,Amir,86
mi.enim@nuncestmollis.net,D7DB6C3F-88D9-7ED2-BC0B-0B9E81E8FA2F,Zenia,87
luctus.et.ultrices@malesuadafames.org,9AC063E7-5CC0-1A94-1510-ED0EFB020D73,Leigh,88
lobortis@nec.edu,A8926B12-3A31-FBD0-78FC-0D7B360BB666,Orla,89
egestas.hendrerit.neque@interdum.co.uk,3B5504F6-DF94-D32C-540A-ABB83E7318CE,Medge,90
vel@nonenim.org,77E1602D-CFE0-837D-C34E-A509BFB0F571,Upton,91
lacus.vestibulum@Suspendisseseddolor.co.uk,9B16396D-C2C5-693F-6DCE-F2C535593C25,Uriel,92
dictum@consequat.com,A023ECC3-2EB5-395C-6ADA-4B1F9BB89BC1,Briar,93
sapien@CurabiturdictumPhasellus.com,F3A5AD38-DBEE-0DEA-2F62-23FE6D585A8A,Daniel,94
erat@Quisqueornare.co.uk,B2128365-DB2A-FE12-C2CA-55C831817206,Stephanie,95
rutrum.lorem@malesuadavelvenenatis.edu,6B3D2A5D-576B-2A14-C09D-9402D1E917AB,Graham,96
Quisque.porttitor@nonvestibulum.edu,DDAE7211-C93F-5F8F-15D2-72D6A8E4A5EC,Christopher,97
nascetur@laoreet.com,AF7440A9-4DD5-C712-D781-0E756FC1072D,Jesse,98
vestibulum.neque.sed@nullaIn.net,45F98AD5-CFE8-012F-B38E-449C5F80A621,Harlan,99
Integer@lorem.co.uk,91B26281-272C-B86A-C662-CD095EAABEAF,Christopher,100
